,Контингент (индификатор),Название проекта (Описание),Дата выхода,Цена,"Производитель, разработчик","Покупатель, заказчик",Участник торгов
0,(Контингент: CGN-20230223005),"Результаты строительства гидроэлектроэнергии и строительства объекта BZ (2023-2026), Строительство гидроэлектроэнергетики и строительства в рамках проекта BZ (2023-2026) (номер тендера: CGN-2023023005) определен, Наблюдение за данной тендерной программой",2023-07-24,36270410,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
1,,"Результаты тайфуновой перестройки на заводе MX в Нинде (третий тендер), Реконструкция вентилятора на заводе MX (третий тендер) (номер тендера: CGN-, Проект: Реконструкция тайфуна на заводе MX в Нинде (третий тендер), Наблюдение за данной тендерной программой",2022-09-16,14010201,," Китайская ядерная промышленность 23 строительства,  &quot; Фуджянинд энтерпрайз лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
2,,"BOH, BBX/BBC/BBD/BBY, BCM, BBJ, Проект резолюции, Циркуляр результатов, BOH, BBX/BBC/BBD/BBY, BCM, BBJ (запрос No: CGN-BBJ), Название проекта: BOH, BBX/BBC/BBD/BBY, BCM, BBJ, Наблюдение за данной тендерной программой",2023-01-31,106022021,," Китайская ядерная промышленность,  &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
3,,"Циркуляр результатов, Наблюдение за осуществлением данного тендерного проекта",2022-12-15,97392204,," ООО &lt; &lt; Чжэцзян &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
4,(Контингент: CGN-20210615002),"В рамках проекта &lt; &lt; Ветроэнергия для бедных &gt; &gt; 2 в секторе &lt; &lt; Хинси &gt; &gt; (регион &lt; &lt; Цинси &gt; &gt; ) были объявлены результаты базовой инженерной работы на дорогах, платформах, ветряных машинах и коробках, Новая энергетическая компания &lt; &lt; Хинси &gt; &gt; , проект &lt; &lt; Ветроэнергия для борьбы с нищетой &gt; &gt; , проект &lt; &lt; Дорога, платформа, ветряная машина и коробка &gt; &gt; (номер тендера: CGN-, Наблюдение за данной тендерной программой",2021-08-03,40818858, Hong Kong, &quot; Чайна инжиниринг лимитед &quot;, Китайская компания по производству новой энергии
5,,"Строительство центра управления наземной ветровой площадкой в порту Гуанчжоу, Циркуляр результатов, Закупка строительных работ в центре управления наземной ветровой электростанцией в порту Хиросимы (третий тендер) (номер тендера:, Название проекта: Закупка строительных работ в центре управления наземной ветряной электростанцией в порту Хиросимы (третий тендер), Наблюдение за данной тендерной программой",2023-03-10,42980353, China Network Energy Development Ltd.," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
6,CGN-20210908005,"50 МВт в топ-проекте 50 МВт, В рамках трех проектов 50 МВт ветроэнергетики в Китае и Японии были определены следующие участники проекта:, Наблюдение за осуществлением данного тендерного проекта /",2021-10-13,1460000,, &quot; Чайна инжиниринг лимитед &quot;,
7,,"AD-проекты 3 и 4 LOT120Eb, Циркуляр результатов, Конструкция блока 3 и 4 проекта AD LOT120Eb (номер тендера: CGN-202205180007) для определения проекта., Название проекта: Конструкция блока AD 3 и 4 LOT120Eb, Наблюдение за данной тендерной программой",2022-12-14,114102800,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
8,,"LF проект LOT120L (перезаключение), Наблюдение за данной тендерной программой",2022-09-15,1498760, Total Take Industries," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
9,(Контингент: CGN-202302280006),"Закупка 490 МВт комбинированного энергопроекта в Гизилу, Закупка 490 МВт комбинированного энергопроекта (пункт 1), Наблюдение за данной тендерной программой",2023-05-10,16074000,," &lt; &lt; Кэрлин текнолоджи &gt; &gt;,  компания &quot; Белая энергетика &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
10,(Контингент: CGN-202304240013),"260 МВт ветряная электростанция Джилинда Анджези, 260 МВт ветряная погрузка в 2-й участок, 260 МВт ветряная установка 260 МВт для новой энергии в Китае (запрос No: CGN-CGN), Наблюдение за данной тендерной программой",2023-06-13,14705013,," компания &quot; Белая энергетика &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
11,(Контингент: CGN-20220420002),"Информация о результатах закупок ветряного оборудования для морского проекта 2PA (Северный сектор) в порту Гуанчжоу, Закупка ветряного оборудования для морского проекта 2PA (Северный сектор) порта Гуаньчжоу (запрос No: CGN-20220420002, Наблюдение за данной тендерной программой",2023-02-07,862990000,," &quot; Перспективная энергетика &quot;,  &quot; Чайна инжиниринг лимитед &quot;", China and China New Energy (Well State) Ltd
12,(Контингент: CGN-202302210001),"Проект SK LOT134Gc Обратный водяной насос, Проект LOT134Gc Промывка водяных насосов (номер тендера: CGN-202302210001) для определения победителей проекта, Наблюдение за данной тендерной программой",2023-05-12,4360600, Zong Kong Co.," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
13,,"SVC 3 для преобразования SVG в общую реконструкцию (перезаключение), SVC No. 3 SVC переделает SVG в целом (перезагрузка) (номер тендера: CGN-202206140012-N1), Наблюдение за данной тендерной программой",2022-09-22,2160000, Электроника, &quot; Чайна инжиниринг лимитед &quot;,
14,"(Контингент: CGN-20220127002), Номер проекта: CGN-20220127002, идентифицированные лица:","Условное обозначение результатов, Надзор за осуществлением данного тендерного проекта /.",2022-03-25,28014000,," &lt; &lt; Анда &gt; &gt; , город Уланчаб,  &quot; Чайна инжиниринг лимитед &quot;", &lt; &lt; Синьхуа &gt; &gt;
15,,"Проект LF 5, проект LOT15 по очистке и удалению, Циркуляр результатов, Устройства для очистки и удаления отходов в блоке LOT15 проекта LF 5 и 6 (номер тендера: CGN-20220916002) для определения проекта, Название проекта: LF-проект 5, блок LOT15 для очистки и очистки, Наблюдение за данной тендерной программой",2023-02-01,7786000, Jiangang Bovan Electric," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
16,,"Результаты проекта по созданию системы аварийно-спасательных работ на море (третий тендер) компании Huawei, Наблюдение за данной тендерной программой",2023-09-13,2530000,," &lt; &lt; Чайна &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
17,,"Проект AD, Циркуляр результатов, Название проекта: Проект AD, Наблюдение за данной тендерной программой",2023-01-31,1115347777, Центральное железнодорожное управление," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
